Nom;Pob
  05231-San Vicente de Arévalo ;190
  05204-Sanchidrián ;768
  05205-Sanchorreja ;91
  05222-Santa Cruz de Pinares ;157
  05221-Santa Cruz del Valle ;385
  05226-Santa María de los Caballeros ;79
  05224-Santa María del Arroyo ;114
  05225-Santa María del Berrocal ;391
  05902-Santa María del Cubillo ;337
  05227-Santa María del Tiétar ;526
  05228-Santiago del Collado ;183
  05904-Santiago del Tormes ;146
  05229-Santo Domingo de las Posadas ;78
  05230-Santo Tomé de Zabarcos ;71
  05232-Serrada, La ;110
  05233-Serranillos ;262
  05234-Sigeres ;53
  05235-Sinlabajos ;127
  05236-Solana de Ávila ;138
  05237-Solana de Rioalmar ;185
  05238-Solosancho ;905
  05239-Sotalbo ;218
  05240-Sotillo de la Adrada ;4652
  05241-Tiemblo, El ;4231
  05242-Tiñosillos ;790
  05243-Tolbaños ;95
  05244-Tormellas ;55
  05245-Tornadizos de Ávila ;432
  05247-Torre, La ;273
  05246-Tórtoles ;64
  05249-Umbrías ;117
  05251-Vadillo de la Sierra ;70
  05252-Valdecasa ;77
  05253-Vega de Santa María ;94
  05254-Velayos ;234
  05256-Villaflor ;126
  05257-Villafranca de la Sierra ;134
  05905-Villanueva de Ávila ;239
  05258-Villanueva de Gómez ;142
  05259-Villanueva del Aceral ;139
  05260-Villanueva del Campillo ;100
  05261-Villar de Corneja ;41
  05262-Villarejo del Valle ;380
  05263-Villatoro ;184
  05264-Viñegra de Moraña ;49
  05265-Vita ;84
  05266-Zapardiel de la Cañada ;104
  05267-Zapardiel de la Ribera ;111
  06001-Acedera ;816
  06002-Aceuchal ;5471
  06003-Ahillones ;960
  06004-Alange ;1914
  06005-Albuera, La ;2046
  06006-Alburquerque ;5486
  06007-Alconchel ;1790
  06008-Alconera ;747
  06009-Aljucén ;240
  06010-Almendral ;1296
  06011-Almendralejo ;34265
  06012-Arroyo de San Serván ;4175
  06013-Atalaya ;302
  06014-Azuaga ;8031
  06015-Badajoz ;149892
  06016-Barcarrota ;3634
  06017-Baterno ;318
  06018-Benquerencia de la Serena ;888
  06019-Berlanga ;2434
  06020-Bienvenida ;2218
  06021-Bodonal de la Sierra ;1081
  06022-Burguillos del Cerro ;3179
  06023-Cabeza del Buey ;5138
  06024-Cabeza la Vaca ;1391
  06025-Calamonte ;6330
  06026-Calera de León ;1014
  06027-Calzadilla de los Barros ;845
  06028-Campanario ;5150
  06029-Campillo de Llerena ;1414
  06030-Capilla ;191
  06031-Carmonita ;561
  06032-Carrascalejo, El ;71
  06033-Casas de Don Pedro ;1560
  06034-Casas de Reina ;199
  06035-Castilblanco ;1085
  06036-Castuera ;6163
  06042-Cheles ;1221
  06037-Codosera, La ;2197
  06038-Cordobilla de Lácara ;960
  06039-Coronada, La ;2195
  06040-Corte de Peleas ;1312
  06041-Cristina ;556
  06043-Don Álvaro ;781
  06044-Don Benito ;36971
  06045-Entrín Bajo ;562
  06046-Esparragalejo ;1489
  06047-Esparragosa de la Serena ;1060
  06048-Esparragosa de Lares ;972
  06049-Feria ;1209
  06050-Fregenal de la Sierra ;4968
  06051-Fuenlabrada de los Montes ;1921
  06052-Fuente de Cantos ;4941
  06053-Fuente del Arco ;709
  06054-Fuente del Maestre ;6856
  06055-Fuentes de León ;2415
  06056-Garbayuela ;543
  06057-Garlitos ;630
  06058-Garrovilla, La ;2453
  06059-Granja de Torrehermosa ;2160
  06903-Guadiana del Caudillo ;2527
  06060-Guareña ;7151
  06061-Haba, La ;1286
  06062-Helechosa de los Montes ;716
  06063-Herrera del Duque ;3686
  06064-Higuera de la Serena ;969
  06065-Higuera de Llerena ;352
  06066-Higuera de Vargas ;2020
  06067-Higuera la Real ;2359
  06068-Hinojosa del Valle ;514
  06069-Hornachos ;3749
  06070-Jerez de los Caballeros ;9615
  06071-Lapa, La ;287
  06073-Llera ;888
  06074-Llerena ;5929
  06072-Lobón ;2837
  06075-Magacela ;552
  06076-Maguilla ;1007
  06077-Malcocinado ;395
  06078-Malpartida de la Serena ;599
  06079-Manchita ;760
  06080-Medellín ;2306
  06081-Medina de las Torres ;1280
  06082-Mengabril ;472
  06083-Mérida ;58971
  06084-Mirandilla ;1349
  06085-Monesterio ;4306
  06086-Montemolín ;1455
  06087-Monterrubio de la Serena ;2490
  06088-Montijo ;15789
  06089-Morera, La ;736
  06090-Nava de Santiago, La ;1005
  06091-Navalvillar de Pela ;4671
  06092-Nogales ;700
  06093-Oliva de la Frontera ;5403
  06094-Oliva de Mérida ;1798
  06095-Olivenza ;12090
  06096-Orellana de la Sierra ;245
  06097-Orellana la Vieja ;2836
  06098-Palomas ;697
  06099-Parra, La ;1383
  06100-Peñalsordo ;1042
  06101-Peraleda del Zaucejo ;565
  06102-Puebla de Alcocer ;1240
  06103-Puebla de la Calzada ;5970
  06104-Puebla de la Reina ;789
  06107-Puebla de Obando ;1894
  06108-Puebla de Sancho Pérez ;2793
  06105-Puebla del Maestre ;759
  06106-Puebla del Prior ;515
  06902-Pueblonuevo del Guadiana ;2046
  06109-Quintana de la Serena ;4818
  06110-Reina ;169
  06111-Rena ;655
  06112-Retamal de Llerena ;475
  06113-Ribera del Fresno ;3440
  06114-Risco ;158
  06115-Roca de la Sierra, La ;1515
  06116-Salvaleón ;1893
  06117-Salvatierra de los Barros ;1712
  06119-San Pedro de Mérida ;877
  06123-San Vicente de Alcántara ;5689
  06118-Sancti-Spíritus ;227
